roi_index,roi_name,intra_network_order,network_member,X_centroid_coord_R,Y_centroid_coord_A,Z_centroid_coord_S
1,7Networks_LH_Vis_1,1,1,-24,-53,-9
2,7Networks_LH_Vis_2,2,1,-26,-77,-14
3,7Networks_LH_Vis_3,3,1,-45,-69,-8
4,7Networks_LH_Vis_4,4,1,-10,-67,-4
5,7Networks_LH_Vis_5,5,1,-27,-95,-12
6,7Networks_LH_Vis_6,6,1,-14,-44,-3
7,7Networks_LH_Vis_7,7,1,-5,-93,-4
8,7Networks_LH_Vis_8,8,1,-47,-70,10
9,7Networks_LH_Vis_9,9,1,-23,-97,6
10,7Networks_LH_Vis_10,10,1,-11,-70,7
11,7Networks_LH_Vis_11,11,1,-40,-85,11
12,7Networks_LH_Vis_12,12,1,-12,-73,22
13,7Networks_LH_Vis_13,13,1,-7,-87,28
14,7Networks_LH_Vis_14,14,1,-23,-87,23
15,7Networks_LH_SomMot_1,1,2,-51,-4,-2
16,7Networks_LH_SomMot_2,2,2,-53,-24,9
17,7Networks_LH_SomMot_3,3,2,-37,-21,16
18,7Networks_LH_SomMot_4,4,2,-55,-4,10
19,7Networks_LH_SomMot_5,5,2,-53,-22,18
20,7Networks_LH_SomMot_6,6,2,-56,-8,31
21,7Networks_LH_SomMot_7,7,2,-47,-9,46
22,7Networks_LH_SomMot_8,8,2,-7,-12,46
23,7Networks_LH_SomMot_9,9,2,-49,-28,57
24,7Networks_LH_SomMot_10,10,2,-40,-25,57
25,7Networks_LH_SomMot_11,11,2,-31,-46,63
26,7Networks_LH_SomMot_12,12,2,-32,-22,64
27,7Networks_LH_SomMot_13,13,2,-26,-38,68
28,7Networks_LH_SomMot_14,14,2,-20,-11,68
29,7Networks_LH_SomMot_15,15,2,-5,-29,67
30,7Networks_LH_SomMot_16,16,2,-19,-31,68
31,7Networks_LH_DorsAttn_Post_1,1,3,-43,-48,-19
32,7Networks_LH_DorsAttn_Post_2,2,3,-57,-60,-1
33,7Networks_LH_DorsAttn_Post_3,3,3,-26,-70,38
34,7Networks_LH_DorsAttn_Post_4,4,3,-54,-27,42
35,7Networks_LH_DorsAttn_Post_5,5,3,-41,-35,47
36,7Networks_LH_DorsAttn_Post_6,6,3,-33,-49,47
37,7Networks_LH_DorsAttn_Post_7,7,3,-17,-73,54
38,7Networks_LH_DorsAttn_Post_8,8,3,-29,-60,59
39,7Networks_LH_DorsAttn_Post_9,9,3,-6,-60,57
40,7Networks_LH_DorsAttn_Post_10,10,3,-17,-53,68
41,7Networks_LH_DorsAttn_FEF_1,1,3,-31,-4,53
42,7Networks_LH_DorsAttn_FEF_2,2,3,-22,6,62
43,7Networks_LH_DorsAttn_PrCv_1,1,3,-48,6,29
44,7Networks_LH_SalVentAttn_ParOper_1,1,4,-56,-40,20
45,7Networks_LH_SalVentAttn_ParOper_2,2,4,-61,-26,28
46,7Networks_LH_SalVentAttn_ParOper_3,3,4,-60,-39,36
47,7Networks_LH_SalVentAttn_FrOperIns_1,1,4,-39,-4,-4
48,7Networks_LH_SalVentAttn_FrOperIns_2,2,4,-33,20,5
49,7Networks_LH_SalVentAttn_FrOperIns_3,3,4,-39,1,11
50,7Networks_LH_SalVentAttn_FrOperIns_4,4,4,-51,9,11
